Ticker,TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
SM,10:00 08-07-2017,14.7,15.04,14.6601,15.04,401800
SM,11:00 08-07-2017,14.59,14.74,14.38,14.7,680514
SM,12:00 08-07-2017,14.5601,14.65,14.22,14.58,811414
SM,13:00 08-07-2017,14.39,14.58,14.335,14.57,395925
SM,14:00 08-07-2017,14.25,14.51,14.2,14.4,439124
SM,15:00 08-07-2017,14.34,14.39,14.25,14.255,376502
SM,16:00 08-07-2017,14.435,14.48,14.33,14.3489,1408456
SM,10:00 08-08-2017,14.08,14.41,14.04,14.2,400298
SM,11:00 08-08-2017,14.43,14.47,13.92,14.07,997673
SM,12:00 08-08-2017,14.94,14.96,14.43,14.43,879862
SM,13:00 08-08-2017,14.53,14.94,14.495,14.94,425697
SM,14:00 08-08-2017,14.53,14.75,14.49,14.53,542589
SM,15:00 08-08-2017,14.64,14.75,14.48,14.53,345250
SM,16:00 08-08-2017,14.72,14.78,14.49,14.645,1506653
SM,10:00 08-09-2017,15.04,15.12,14.86,14.87,223896
SM,11:00 08-09-2017,14.79,15.1,14.68,15.03,784918
SM,12:00 08-09-2017,14.55,14.8,14.48,14.78,499488
SM,13:00 08-09-2017,14.56,14.61,14.46,14.54,288691
SM,14:00 08-09-2017,14.68,14.7035,14.48,14.56,239980
SM,15:00 08-09-2017,14.69,14.8,14.63,14.68,349392
SM,16:00 08-09-2017,14.71,14.73,14.635,14.7,819198
GPOR,10:00 08-07-2017,11.39,11.72,11.36,11.53,211721
GPOR,11:00 08-07-2017,11.35,11.48,11.22,11.39,371572
GPOR,12:00 08-07-2017,11.4,11.405,11.185,11.34,479970
GPOR,13:00 08-07-2017,11.35,11.415,11.34,11.41,422707
GPOR,14:00 08-07-2017,11.325,11.39,11.3,11.36,482026
GPOR,15:00 08-07-2017,11.29,11.36,11.275,11.325,317372
GPOR,16:00 08-07-2017,11.23,11.35,11.23,11.29,1270228
GPOR,10:00 08-08-2017,11.08,11.19,10.9,10.98,491640
GPOR,11:00 08-08-2017,11.18,11.26,11.02,11.07,673657
GPOR,12:00 08-08-2017,11.295,11.33,11.14,11.175,425271
GPOR,13:00 08-08-2017,11.13,11.3074,11.12,11.3,277672
GPOR,14:00 08-08-2017,11.09,11.18,11.02,11.13,402832
GPOR,15:00 08-08-2017,11.06,11.12,11.02,11.08,417105
GPOR,16:00 08-08-2017,11,11.095,10.9,11.065,1777400
